"id_mascota,nombre,especie,fecha_nacimiento,sexo,tamaño,estirilizado,descripcion,id_refugio"
"1,Max,Perro,2019-05-15,macho,grande,1,""Perro juguetón y cariñoso. Ideal para familias."",1"
"2,Luna,Gato,2019-08-10,hembra,chico,1,""Gatita tímida pero muy dulce."",2"
"3,Rex,Perro,2019-01-20,macho,mediano,1,""Perro rescatado en busca de un hogar tranquilo."",1"
"4,Mia,Conejo,2023-02-14,hembra,chico,1,""Conejo activo y saludable, ideal para niños."",2"
"5,Scott,Gato,2021-06-16,macho,chico,1,""Gato curioso que ama explorar cada rincon y descansar bajo el sol."",12"
"6,Victor,Reptil,2019-03-20,hembra,mediano,1,""Reptil tranquilo que se siente feliz en un ambiente calido y seguro."",5"
"7,Charles,Perro,2021-05-26,macho,mediano,1,""Perro muy amigable que disfruta de largos paseos y juegos con su familia."",1"
"8,Robin,Ave,2023-07-02,macho,chico,1,""Ave alegre que llena el lugar con su canto y su energia vibrante."",2"
"9,Robert,Reptil,2018-06-02,desconocido,grande,1,""Reptil tranquilo que se siente feliz en un ambiente calido y seguro."",7"
"10,Brianna,Ave,2018-03-07,hembra,chico,1,""Ave alegre que llena el lugar con su canto y su energia vibrante."",6"
"11,Carlos,Gato,2016-05-20,hembra,grande,1,""Gato curioso que ama explorar cada rincon y descansar bajo el sol."",11"
"12,Kevin,Conejo,2018-10-15,macho,mediano,1,""Conejito especial que merece todo el cariÃ±o y cuidado del mundo."",10"
"13,Steven,Conejo,2022-12-20,macho,mediano,1,""Conejito especial que merece todo el cariÃ±o y cuidado del mundo."",2"
"14,Rodney,Reptil,2018-06-26,desconocido,chico,1,""Reptil tranquilo que se siente feliz en un ambiente calido y seguro."",2"
"15,Deborah,Conejo,2018-06-19,macho,chico,1,""Conejito especial que merece todo el cariÃ±o y cuidado del mundo."",2"
"16,Crystal,Gato,2021-03-12,hembra,chico,1,""Gato curioso que ama explorar cada rincon y descansar bajo el sol."",11"
"17,Jane,Gato,2019-09-09,macho,grande,1,""Gato curioso que ama explorar cada rincon y descansar bajo el sol."",10"
"18,Andrew,Conejo,2019-11-11,macho,chico,1,""Conejito especial que merece todo el cariÃ±o y cuidado del mundo."",5"
"19,Gary,Ave,2021-02-08,hembra,chico,1,""Ave alegre que llena el lugar con su canto y su energia vibrante."",5"
"20,Heather,Reptil,2023-01-07,macho,chico,1,""Reptil tranquilo que se siente feliz en un ambiente calido y seguro."",1"
"21,Cody,Perro,2017-11-16,macho,chico,1,""Perro muy amigable que disfruta de largos paseos y juegos con su familia."",9"
"22,Travis,Ave,2017-05-22,desconocido,chico,1,""Ave alegre que llena el lugar con su canto y su energia vibrante."",3"
